Nome,Preço,Marca,Categoria
Mix 4 Legumes D'Aucy Congelado 300g,"R$ 8,79",D'Aucy,Legumes Congelados
Mix de Legumes Grano Clássico Congelado 300g,"R$ 8,99",Grano,Legumes Congelados
Brócolis Florete D'Aucy Congelado 300g,"R$ 6,49",D'Aucy,Legumes Congelados
Couve-Flor Grano Congelado 300g,"R$ 6,49",Grano,Legumes Congelados
Batata Smiles McCain Congelada 400g,"R$ 15,99",Mccain,Legumes Congelados
Batata Palito Mccain Airfryer + Fininhas 600g,"R$ 19,99",Mccain,Legumes Congelados
Ervilhas Finas Congeladas D'Aucy 300g,"R$ 7,49",D'Aucy,Legumes Congelados
Mistura Caribenha D'Aucy Congelada 300g,"R$ 8,99",D'Aucy,Legumes Congelados
"Batata Palito Mccain Clássicas Corte Tradicional 1,5kg","R$ 31,99",Mccain,Legumes Congelados
Mistura Japonesa D'Aucy Congelada 300g,"R$ 9,49",D'Aucy,Legumes Congelados
Grão de Bico Grano Congelado 300g,"R$ 6,59",Grano,Legumes Congelados
"Batata Bem Brasil Crinkle 1,05kg","R$ 19,99",Bem Brasil,Legumes Congelados
Batata McCain Potato Pops Calabresa & Bacon 400g,"R$ 16,99",Mccain,Legumes Congelados
Anéis de Cebola Mccain Congelado 400g,"R$ 22,99",Mccain,Legumes Congelados
Batata Palito Mccain Clássicas Corte Tradicional 720g,"R$ 21,99",Mccain,Legumes Congelados
Ervilha Congelada Sadia Veg&Tal 300g,"R$ 6,99",Sadia,Legumes Congelados
"Batata Bem Brasil Tradicional 1,5kg","R$ 24,99",Bem Brasil,Legumes Congelados
Abóbora Moranga Grano Congelada 500g,"R$ 10,79",Grano,Legumes Congelados
Batata Bem Brasil Carinhas 400g,"R$ 7,49",Bem Brasil,Legumes Congelados
Mandioca Supreme Seara Nature 600g,"R$ 25,99",Seara,Legumes Congelados
Alho Picado Congelado D'Aucy 300g,"R$ 12,99",D'Aucy,Legumes Congelados
Brócolis Florete D'Aucy Congelado 1kg,"R$ 19,99",D'Aucy,Legumes Congelados
Salada de Verão D'Aucy Congelada 1kg,"R$ 19,99",D'Aucy,Legumes Congelados
"Batata Palito McCain +Fininhas 1,05kg","R$ 24,99",Mccain,Legumes Congelados
Anel de Cebola Bem Brasil 400g,"R$ 14,59",Bem Brasil,Legumes Congelados
Mandioca Tolete Seara Nature 1kg,"R$ 27,49",Seara,Legumes Congelados
Dadinho de Batata Bem Brasil Com Queijo 400g,"R$ 7,99",Bem Brasil,Legumes Congelados
Espinafre Triturado Congelado D'Aucy 300g,"R$ 7,89",Daucy,Legumes Congelados
Mandioca Mandi Mais Pop Cremosa 500g,"R$ 15,99",Mandi Mais,Legumes Congelados
Mistura 4 Legumes D'Aucy Congelada 1kg,"R$ 21,99",D'Aucy,Legumes Congelados
"Mandioquinha DeMarchi Congelada Em Cubos 1,02kg","R$ 27,99",Demarchi,Legumes Congelados
Edamame Sem Vagem D'Aucy Congelada 300g,"R$ 13,99",D'Aucy,Legumes Congelados
Mistura Tailandesa D'Aucy Congelada 300g,"R$ 10,49",D'Aucy,Legumes Congelados
Mandioca Mandi Mais Pop Alho 500g,"R$ 16,99",Mandi Mais,Legumes Congelados
Batata Mccain Airfryer Crinkle Extracrocante 500g,"R$ 21,99",Mccain,Legumes Congelados
Morango Congelado De Marchi 1.02kg,"R$ 28,99",Demarchi,Frutas Congeladas
Frutas Vermelhas Congeladas De Marchi 300g,"R$ 17,99",Demarchi,Frutas Congeladas
Morango Congelado De Marchi 300g,"R$ 10,99",De Marchi,Frutas Congeladas
